"Date","Price","Open","High","Low","Vol.","Change %"
"05/24/2022","3,960.7","3,949.2","3,965.5","3,874.8","","0.27%"
"05/23/2022","3,950.0","3,938.4","3,984.3","3,909.1","","0.29%"
"05/22/2022","3,938.4","3,925.5","3,939.9","3,920.8","","0.87%"
"05/20/2022","3,904.3","3,911.9","3,952.2","3,810.2","","-0.17%"
"05/19/2022","3,910.8","3,899.3","3,945.9","3,858.9","","0.25%"
"05/18/2022","3,900.9","4,088.3","4,091.6","3,900.7","","-4.58%"
"05/17/2022","4,088.1","4,011.8","4,097.5","4,006.8","","1.91%"
"05/16/2022","4,011.5","4,039.1","4,046.7","3,983.5","","-0.69%"
"05/15/2022","4,039.3","4,028.2","4,045.2","4,022.6","","0.53%"
"05/13/2022","4,018.0","3,945.3","4,039.0","3,941.5","","1.84%"
"05/12/2022","3,945.5","3,945.8","3,964.8","3,859.0","","-0.01%"
"05/11/2022","3,945.9","3,996.4","4,055.2","3,929.1","","-1.27%"
"05/10/2022","3,996.7","4,004.2","4,069.5","3,958.2","","-0.18%"
"05/09/2022","4,004.0","4,085.2","4,098.0","3,975.1","","-1.99%"
"05/08/2022","4,085.2","4,095.3","4,103.5","4,080.0","","-0.78%"
"05/06/2022","4,117.3","4,153.3","4,157.8","4,067.9","","-0.85%"
"05/05/2022","4,152.8","4,292.6","4,305.4","4,105.5","","-3.25%"
"05/04/2022","4,292.4","4,181.5","4,307.6","4,148.7","","2.65%"
"05/03/2022","4,181.5","4,153.3","4,200.6","4,134.6","","0.67%"
"05/02/2022","4,153.8","4,136.9","4,169.9","4,062.1","","0.41%"
"05/01/2022","4,137.0","4,146.0","4,152.4","4,122.1","","-0.12%"
"04/29/2022","4,141.8","4,250.9","4,284.6","4,124.4","","-2.56%"
"04/28/2022","4,250.4","4,217.2","4,308.5","4,188.1","","0.77%"
"04/27/2022","4,217.8","4,178.9","4,241.2","4,163.1","","0.94%"
"04/26/2022","4,178.6","4,295.0","4,308.1","4,142.2","","-2.71%"
"04/25/2022","4,295.1","4,263.6","4,301.0","4,200.3","","0.74%"
"04/24/2022","4,263.6","4,264.8","4,272.1","4,255.2","","0.17%"
"04/22/2022","4,256.3","4,381.8","4,396.9","4,252.8","","-2.87%"
"04/21/2022","4,381.9","4,475.3","4,512.7","4,380.5","","-2.09%"
"04/20/2022","4,475.3","4,447.3","4,488.4","4,437.4","","0.62%"
"04/19/2022","4,447.8","4,414.8","4,470.7","4,376.7","","0.73%"
"04/18/2022","4,415.6","4,362.9","4,415.8","4,361.6","","1.20%"
"04/17/2022","4,363.2","4,393.6","4,393.6","4,362.1","","-0.70%"
"04/14/2022","4,393.8","4,443.3","4,460.4","4,389.9","","-1.11%"
"04/13/2022","4,443.0","4,410.0","4,453.9","4,388.4","","0.74%"
"04/12/2022","4,410.3","4,411.3","4,470.9","4,380.8","","-0.02%"
"04/11/2022","4,411.3","4,481.0","4,485.9","4,408.6","","-1.56%"
"04/10/2022","4,481.3","4,493.7","4,495.7","4,481.1","","-0.15%"
"04/08/2022","4,488.0","4,506.4","4,524.3","4,474.6","","-0.43%"
"04/07/2022","4,507.2","4,465.2","4,521.2","4,450.3","","0.92%"
"04/06/2022","4,466.0","4,528.2","4,533.4","4,449.8","","-1.37%"
"04/05/2022","4,528.2","4,579.0","4,593.7","4,514.9","","-1.11%"
"04/04/2022","4,578.8","4,536.9","4,585.7","4,533.6","","0.93%"
"04/03/2022","4,536.4","4,544.7","4,545.2","4,534.8","","-0.16%"
"04/01/2022","4,543.7","4,548.0","4,560.4","4,507.4","","-0.09%"
"03/31/2022","4,547.7","4,604.4","4,620.0","4,532.9","","-1.23%"
"03/30/2022","4,604.2","4,627.2","4,633.0","4,580.7","","-0.50%"
"03/29/2022","4,627.5","4,575.2","4,637.3","4,572.2","","1.16%"
"03/28/2022","4,574.4","4,533.5","4,579.1","4,517.4","","0.88%"
"03/27/2022","4,534.4","4,542.7","4,546.6","4,534.0","","-0.18%"
"03/25/2022","4,542.8","4,517.8","4,546.1","4,501.1","","0.56%"
"03/24/2022","4,517.7","4,460.3","4,524.4","4,453.8","","1.29%"
"03/23/2022","4,460.2","4,517.4","4,521.9","4,453.1","","-1.27%"
"03/22/2022","4,517.6","4,453.1","4,521.7","4,441.5","","1.43%"
"03/21/2022","4,453.8","4,461.7","4,482.2","4,424.1","","-0.17%"
"03/20/2022","4,461.4","4,468.7","4,472.7","4,460.7","","-0.29%"
"03/18/2022","4,474.2","4,388.9","4,474.7","4,373.2","","1.95%"
"03/17/2022","4,388.7","4,364.8","4,415.6","4,329.3","","0.54%"
"03/16/2022","4,365.0","4,256.6","4,374.8","4,247.4","","2.54%"
"03/15/2022","4,256.8","4,181.6","4,271.0","4,137.9","","1.79%"
"03/14/2022","4,181.8","4,232.7","4,254.2","4,161.3","","-1.21%"
"03/13/2022","4,233.1","4,227.0","4,236.0","4,216.9","","0.62%"
"03/11/2022","4,206.9","4,265.9","4,336.4","4,199.4","","-1.36%"
"03/10/2022","4,265.1","4,278.3","4,283.2","4,209.4","","-0.30%"
"03/09/2022","4,278.0","4,172.0","4,299.4","4,167.1","","2.56%"
"03/08/2022","4,171.3","4,188.9","4,277.0","4,142.8","","-0.42%"
"03/07/2022","4,188.7","4,271.8","4,327.6","4,184.0","","-1.95%"
"03/06/2022","4,272.2","4,306.3","4,306.3","4,266.0","","-1.16%"
"03/04/2022","4,322.4","4,375.6","4,376.9","4,284.6","","-1.19%"
"03/03/2022","4,374.6","4,378.9","4,421.6","4,345.2","","-0.08%"
"03/02/2022","4,378.3","4,321.5","4,400.9","4,282.4","","1.33%"
"03/01/2022","4,321.0","4,381.5","4,402.4","4,279.8","","-1.38%"
"02/28/2022","4,381.5","4,288.6","4,388.8","4,264.2","","2.15%"
"02/27/2022","4,289.2","4,298.1","4,308.4","4,259.1","","-2.22%"
"02/25/2022","4,386.8","4,265.8","4,388.4","4,233.0","","2.83%"
"02/24/2022","4,266.1","4,223.2","4,295.2","4,106.8","","1.02%"
"02/23/2022","4,222.9","4,329.6","4,350.4","4,213.9","","-2.46%"
"02/22/2022","4,329.2","4,277.4","4,363.5","4,265.9","","1.19%"
"02/21/2022","4,278.1","4,327.5","4,396.4","4,255.5","","-1.15%"
"02/20/2022","4,327.7","4,328.5","4,339.0","4,322.0","","-0.50%"
"02/18/2022","4,349.6","4,383.4","4,416.6","4,326.7","","-0.78%"
"02/17/2022","4,383.6","4,466.7","4,473.4","4,373.0","","-1.86%"
"02/16/2022","4,466.9","4,458.4","4,489.8","4,429.6","","0.18%"
"02/15/2022","4,458.9","4,410.5","4,474.4","4,388.1","","1.12%"
"02/14/2022","4,409.7","4,424.6","4,433.9","4,361.0","","-0.33%"
"02/13/2022","4,424.1","4,419.3","4,427.3","4,408.1","","-0.02%"
"02/11/2022","4,425.1","4,492.2","4,527.4","4,401.4","","-1.49%"
"02/10/2022","4,491.9","4,586.5","4,590.3","4,484.2","","-2.06%"
"02/09/2022","4,586.5","4,532.7","4,592.1","4,525.5","","1.19%"
"02/08/2022","4,532.7","4,495.2","4,533.5","4,465.2","","0.84%"
"02/07/2022","4,495.0","4,507.1","4,522.5","4,471.2","","-0.27%"
"02/06/2022","4,507.0","4,507.3","4,508.0","4,496.7","","0.32%"
"02/04/2022","4,492.6","4,527.2","4,540.0","4,447.2","","-0.76%"
"02/03/2022","4,526.9","4,540.1","4,552.9","4,471.4","","-0.29%"
"02/02/2022","4,540.1","4,560.5","4,594.8","4,539.2","","-0.45%"
"02/01/2022","4,560.4","4,502.9","4,563.9","4,484.1","","1.29%"
"01/31/2022","4,502.4","4,420.3","4,516.2","4,403.9","","1.85%"
"01/30/2022","4,420.6","4,431.6","4,435.7","4,411.1","","-0.18%"
"01/28/2022","4,428.4","4,342.6","4,433.9","4,274.9","","1.95%"
"01/27/2022","4,343.9","4,374.0","4,429.3","4,273.0","","-0.70%"
"01/26/2022","4,374.5","4,365.9","4,454.4","4,304.6","","0.19%"
"01/25/2022","4,366.2","4,411.4","4,412.9","4,286.1","","-1.00%"
"01/24/2022","4,410.3","4,422.1","4,435.2","4,221.8","","-0.28%"
"01/23/2022","4,422.6","4,396.8","4,422.9","4,394.8","","0.69%"
"01/21/2022","4,392.5","4,470.6","4,494.6","4,390.5","","-1.74%"
"01/20/2022","4,470.2","4,525.7","4,602.5","4,446.3","","-1.19%"
"01/19/2022","4,524.0","4,576.8","4,610.9","4,523.5","","-1.15%"
"01/18/2022","4,576.6","4,665.7","4,669.9","4,568.9","","-1.89%"
"01/17/2022","4,664.9","4,664.5","4,674.2","4,647.0","","0.00%"
"01/16/2022","4,664.7","4,676.8","4,678.6","4,662.3","","-0.15%"
"01/14/2022","4,671.8","4,662.8","4,674.6","4,614.9","","0.19%"
"01/13/2022","4,662.8","4,726.1","4,744.7","4,650.4","","-1.33%"
"01/12/2022","4,725.6","4,712.5","4,748.7","4,704.2","","0.27%"
"01/11/2022","4,712.8","4,674.3","4,716.1","4,636.8","","0.81%"
"01/10/2022","4,674.8","4,666.5","4,690.1","4,581.4","","0.18%"
"01/09/2022","4,666.3","4,679.4","4,682.0","4,659.3","","-0.21%"
"01/07/2022","4,676.2","4,707.8","4,714.1","4,662.7","","-0.67%"
"01/06/2022","4,707.7","4,707.3","4,725.1","4,671.4","","0.01%"
"01/05/2022","4,707.0","4,787.2","4,797.2","4,691.1","","-1.68%"
"01/04/2022","4,787.2","4,792.6","4,817.9","4,774.2","","-0.10%"
"01/03/2022","4,792.2","4,783.5","4,798.9","4,756.6","","0.19%"
"01/02/2022","4,783.0","4,779.4","4,785.2","4,779.4","","0.11%"
"12/31/2021","4,777.8","4,781.6","4,786.8","4,759.7","","-0.07%"
"12/30/2021","4,781.3","4,788.5","4,808.5","4,776.2","","-0.15%"
"12/29/2021","4,788.7","4,795.0","4,803.7","4,778.8","","-0.13%"
"12/28/2021","4,794.7","4,787.6","4,806.8","4,779.7","","0.16%"
"12/27/2021","4,787.1","4,732.5","4,792.8","4,722.9","","1.16%"
"12/26/2021","4,732.1","4,729.1","4,734.4","4,727.4","","0.12%"
"12/23/2021","4,726.4","4,700.1","4,740.5","4,694.7","","0.54%"
"12/22/2021","4,700.8","4,647.3","4,702.6","4,632.6","","1.16%"
"12/21/2021","4,647.0","4,588.6","4,652.5","4,575.9","","1.28%"
"12/20/2021","4,588.4","4,595.6","4,601.9","4,530.9","","-0.13%"
"12/19/2021","4,594.6","4,622.9","4,631.0","4,593.5","","-0.76%"
"12/17/2021","4,629.6","4,667.2","4,676.5","4,600.5","","-0.79%"
"12/16/2021","4,666.7","4,716.9","4,752.0","4,651.4","","-1.07%"
"12/15/2021","4,717.0","4,636.9","4,721.0","4,611.4","","1.74%"
"12/14/2021","4,636.4","4,674.5","4,686.1","4,606.4","","-0.81%"
"12/13/2021","4,674.1","4,720.6","4,731.9","4,665.8","","-0.99%"
"12/12/2021","4,720.7","4,713.6","4,721.9","4,713.6","","0.17%"
"12/10/2021","4,712.9","4,674.0","4,713.4","4,665.3","","0.85%"
"12/09/2021","4,673.3","4,697.8","4,707.4","4,663.6","","-0.52%"
"12/08/2021","4,697.9","4,690.9","4,713.0","4,674.4","","0.14%"
"12/07/2021","4,691.1","4,595.5","4,698.7","4,589.0","","2.10%"
"12/06/2021","4,594.8","4,559.1","4,612.8","4,533.8","","0.79%"
"12/05/2021","4,559.0","4,545.3","4,560.8","4,538.0","","0.56%"
"12/03/2021","4,533.6","4,563.3","4,607.6","4,494.7","","-0.65%"
"12/02/2021","4,563.3","4,529.1","4,595.7","4,507.8","","0.77%"
"12/01/2021","4,528.5","4,586.6","4,653.2","4,501.3","","-1.26%"
"11/30/2021","4,586.1","4,665.8","4,670.1","4,560.3","","-1.70%"
"11/29/2021","4,665.6","4,629.1","4,673.1","4,623.4","","0.79%"
"11/28/2021","4,629.0","4,593.3","4,634.0","4,593.3","","1.01%"
"11/26/2021","4,582.6","4,690.7","4,690.9","4,581.5","","-2.30%"
"11/25/2021","4,690.7","4,704.9","4,719.9","4,689.4","","-0.30%"
